Time,Acquistata (W),Autoconsumo (W),Consumo (W),Immessa (W),Produzione (W)
08/07/2020 00:00,"1281.5746","0","1281.5746","0","0"
08/07/2020 00:15,"2505.228","0","2505.228","0","0"
08/07/2020 00:30,"3168.7329","0","3168.7329","0","0"
08/07/2020 00:45,"1019.0406","0","1019.0406","0","0"
08/07/2020 01:00,"1096.1738","0","1096.1738","0","0"
08/07/2020 01:15,"1192.6764","0","1192.6764","0","0"
08/07/2020 01:30,"2120.6653","0","2120.6653","0","0"
08/07/2020 01:45,"1000.4479","0","1000.4479","0","0"
08/07/2020 02:00,"784.421","0","784.421","0","0"
08/07/2020 02:15,"775.5913","0","775.5913","0","0"
08/07/2020 02:30,"1806.1443","0","1806.1443","0","0"
08/07/2020 02:45,"1346.0961","0","1346.0961","0","0"
08/07/2020 03:00,"3328.6519","0","3328.6519","0","0"
08/07/2020 03:15,"1960.2854","0","1960.2854","0","0"
08/07/2020 03:30,"1251.005","0","1251.005","0","0"
08/07/2020 03:45,"676.8834","0","676.8834","0","0"
08/07/2020 04:00,"741.1514","0","741.1514","0","0"
08/07/2020 04:15,"1205.5217","0","1205.5217","0","0"
08/07/2020 04:30,"630.6818","0","630.6818","0","0"
08/07/2020 04:45,"688.8746","0","688.8746","0","0"
08/07/2020 05:00,"887.0023","0","887.0023","0","0"
08/07/2020 05:15,"796.7635","0","796.7635","0","0"
08/07/2020 05:30,"1660.788","5.6667","1666.4546","0","5.6667"
08/07/2020 05:45,"2957.4163","32.6667","2990.083","0","32.6667"
08/07/2020 06:00,"1253.4299","92","1345.4299","0","92"
08/07/2020 06:15,"504.1582","229","733.1582","0","229"
08/07/2020 06:30,"220.4592","490.3333","710.7925","0","490.3333"
08/07/2020 06:45,"369.9088","779.3333","1149.2421","0","779.3333"
08/07/2020 07:00,"0","669.0486","669.0486","464.618","1133.6666"
08/07/2020 07:15,"1040.535","1548.6666","2589.2017","0","1548.6666"
08/07/2020 07:30,"585.9556","1550.7661","2136.7217","411.2339","1962"
08/07/2020 07:45,"0","1219.6572","1219.6572","1144.3428","2364"
08/07/2020 08:00,"0","1221.5319","1221.5319","1539.4681","2761"
08/07/2020 08:15,"0","940.1501","940.1501","2150.1831","3090.3333"
08/07/2020 08:30,"105.1136","2763.7822","2868.8958","814.2179","3578"
08/07/2020 08:45,"0","3087.7556","3087.7556","1099.2444","4187"
08/07/2020 09:00,"341.5548","3630.3403","3971.8953","936.9095","4567.25"
08/07/2020 09:15,"0","895.2769","895.2769","3927.0566","4822.3335"
08/07/2020 09:30,"0","3302.9902","3302.9902","1902.0096","5205"
08/07/2020 09:45,"0","2311.2471","2311.2471","3296.7529","5608"
08/07/2020 10:00,"0","2705.5784","2705.5784","3725.7551","6431.3335"
08/07/2020 10:15,"0","1536.8499","1536.8499","3557.1501","5094"
08/07/2020 10:30,"0","3860.457","3860.457","2469.543","6330"
08/07/2020 10:45,"0","2773.9192","2773.9192","3553.7473","6327.6665"
08/07/2020 11:00,"0","2509.1316","2509.1316","4000.5349","6509.6665"
08/07/2020 11:15,"90.9074","2188.6719","2279.5793","2674.9946","4863.6665"
08/07/2020 11:30,"0","5018.7461","5018.7461","1556.2542","6575"
08/07/2020 11:45,"0","2157.186","2157.186","4496.814","6654"
08/07/2020 12:00,"0","2016.4219","2016.4219","4696.5781","6713"
08/07/2020 12:15,"0","3220.7781","3220.7781","3531.8884","6752.6665"
08/07/2020 12:30,"227.1402","5512.8242","5739.9644","1351.1759","6864"
08/07/2020 12:45,"0","2648.0474","2648.0474","4120.9526","6769"
08/07/2020 13:00,"0","2649.1597","2649.1597","4162.1738","6811.3335"
08/07/2020 13:15,"514.6779","6713.3335","7228.0112","0","6713.3335"
08/07/2020 13:30,"0","2600.041","2600.041","4080.2925","6680.3335"
08/07/2020 13:45,"0","2721.6052","2721.6052","3915.7283","6637.3335"
08/07/2020 14:00,"172.7165","4728.7168","4901.4331","1749.2832","6478"
08/07/2020 14:15,"0","2180","2180","4194.6665","6374.6665"
08/07/2020 14:30,"137.281","3964.1868","4101.4678","2142.1467","6106.3335"
08/07/2020 14:45,"819.6042","4314.8057","5134.4097","1713.1945","6028"
08/07/2020 15:00,"0","2155.2034","2155.2034","3692.4631","5847.6665"
08/07/2020 15:15,"0","4239.0146","4239.0146","1416.6517","5655.6665"
08/07/2020 15:30,"0","3608.0273","3608.0273","1830.6392","5438.6665"
08/07/2020 15:45,"0","3124.3457","3124.3457","1878.3209","5002.6665"
